序号,标题,链接,创建时间,状态,标签
195,"""shutdown();"" in a non-adm client session crashes Mserver",https://github.com/MonetDB/MonetDB/issues/279,2020-11-30T08:26:44Z,CLOSED,['bug']
196,SQL: TRANSACTION SERIALIZABLE way too tight,https://github.com/MonetDB/MonetDB/issues/280,2020-11-30T08:26:47Z,CLOSED,['bug']
197,"BAT insert, conversion void-->oid: intended behavior?",https://github.com/MonetDB/MonetDB/issues/281,2020-11-30T08:26:49Z,CLOSED,['bug']
198,ERROR call doesn't get printed,https://github.com/MonetDB/MonetDB/issues/282,2020-11-30T08:26:52Z,CLOSED,['bug']
199,algebra.mx fails to compile,https://github.com/MonetDB/MonetDB/issues/283,2020-11-30T08:26:54Z,CLOSED,['bug']
200,casting Boolean to smallint fails,https://github.com/MonetDB/MonetDB/issues/284,2020-11-30T08:26:57Z,CLOSED,['bug']
201,SQL server assertion error,https://github.com/MonetDB/MonetDB/issues/285,2020-11-30T08:26:59Z,CLOSED,['bug']
202,MapiClient produces no error,https://github.com/MonetDB/MonetDB/issues/286,2020-11-30T08:27:02Z,CLOSED,['bug']
203,SQL: inappropriate auto-commit behaviour on multi-query stmt,https://github.com/MonetDB/MonetDB/issues/287,2020-11-30T08:27:04Z,CLOSED,['bug']
204,SQL: MeltDown on `simple' union query,https://github.com/MonetDB/MonetDB/issues/288,2020-11-30T08:27:07Z,CLOSED,['bug']
205,Mx does not compile with GNU on Solaris,https://github.com/MonetDB/MonetDB/issues/289,2020-11-30T08:27:10Z,CLOSED,['bug']
206,ODBC driver fails to compile on several platforms,https://github.com/MonetDB/MonetDB/issues/290,2020-11-30T08:27:13Z,CLOSED,['bug']
207,Escaped characters count double in INSERT,https://github.com/MonetDB/MonetDB/issues/291,2020-11-30T08:27:16Z,CLOSED,['bug']
208,SQL: test in src/backends/monet4/Tests fail,https://github.com/MonetDB/MonetDB/issues/292,2020-11-30T08:27:19Z,CLOSED,['bug']
